CODDETSES,CODSES,ASISTENCIA,PARTICIPACION,CASO,CONTROL,EXAMPARC,EXAMFINAL,TRABAJO,PROMEDIOS,CODASIG,CASO2
"106","31","1","0","0","0","0","0","0","0","14","0"
"107","31","1","0","0","0","0","10","0","0","13","0"
"108","31","1","0","0","0","0","10","0","0","12","0"
"109","19","1","0","0","0","20","0","0","0","10","0"
"110","19","1","0","0","0","20","0","0","0","4","0"
"111","19","1","0","0","0","20","0","0","0","11","0"
"112","19","1","0","0","0","20","0","0","0","7","0"
"113","19","0","0","0","0","20","0","0","0","9","0"
"114","19","0","0","0","0","20","0","0","0","14","0"
"115","19","1","0","0","0","20","0","0","0","13","0"
"116","19","0","0","0","0","20","0","0","0","12","0"
"117","25","1","0","0","0","0","0","0","0","10","0"
"118","25","1","0","0","0","0","0","0","0","4","0"
"119","25","1","0","0","0","0","0","0","0","11","0"
"120","25","1","0","0","0","0","0","0","0","7","0"
"121","25","1","0","0","0","0","0","0","0","9","0"
"122","25","1","0","0","0","0","0","0","0","14","0"
"123","25","1","0","0","0","0","0","0","0","13","0"
"124","25","1","0","0","0","0","0","0","0","12","0"
"125","1","1","0","0","0","0","0","0","0","10","0"
"126","1","1","0","0","0","0","0","0","0","4","0"
"127","1","2","0","0","0","0","0","0","0","16","0"
"128","1","1","0","0","0","0","0","0","0","11","0"
"129","1","1","0","0","0","0","0","0","0","7","0"
"130","1","1","0","0","0","0","0","0","0","9","0"
"131","1","1","0","0","0","0","0","0","0","14","0"
"132","1","1","0","0","0","0","0","0","0","13","0"
"133","1","0","0","0","0","0","0","0","0","12","0"
